99.17 ,50.00 ,59.38 ,75.00 ,50.00 ,66.71 
97.50 ,62.50 ,100.00 ,75.00 ,52.71 ,77.54 
57.29 ,47.92 ,88.33 ,51.46 ,25.00 ,54.00 
62.08 ,50.00 ,62.50 ,62.50 ,87.50 ,64.92 
62.50 ,87.50 ,54.58 ,87.50 ,50.00 ,68.42 
25.00 ,93.33 ,75.00 ,75.00 ,75.00 ,68.67 
74.38 ,75.00 ,56.04 ,74.79 ,53.96 ,66.83 
62.50 ,87.50 ,100.00 ,50.00 ,50.00 ,70.00 
100.00 ,87.50 ,62.50 ,75.00 ,59.58 ,76.92 
87.71 ,23.96 ,25.00 ,99.79 ,25.00 ,52.29 
97.29 ,50.00 ,87.50 ,87.50 ,87.50 ,81.96 
88.75 ,75.00 ,75.00 ,75.00 ,73.54 ,77.46 
25.00 ,75.00 ,73.13 ,75.00 ,72.92 ,64.21 
75.00 ,97.08 ,68.75 ,53.75 ,57.08 ,70.33 
96.04 ,47.92 ,44.58 ,62.50 ,60.83 ,62.37 
50.00 ,50.00 ,99.58 ,50.00 ,75.00 ,64.92 
,,,,,67.97 
