85.21 ,33.13 ,84.79 ,50.00 ,37.71 ,58.17 
100.00 ,94.38 ,100.00 ,100.00 ,100.00 ,98.88 
99.58 ,100.00 ,99.58 ,100.00 ,100.00 ,99.83 
71.67 ,87.71 ,94.38 ,85.83 ,95.00 ,86.92 
87.50 ,87.50 ,87.50 ,87.50 ,87.50 ,87.50 
97.92 ,95.42 ,97.92 ,98.96 ,94.79 ,97.00 
92.92 ,89.17 ,88.54 ,92.92 ,93.75 ,91.46 
73.75 ,84.79 ,88.33 ,99.38 ,75.00 ,84.25 
87.92 ,99.79 ,88.33 ,99.58 ,100.00 ,95.13 
25.00 ,25.00 ,95.83 ,50.21 ,90.42 ,57.29 
94.17 ,96.88 ,75.00 ,93.33 ,93.96 ,90.67 
97.50 ,97.29 ,98.33 ,98.54 ,93.75 ,97.08 
95.63 ,93.33 ,95.21 ,91.46 ,96.25 ,94.38 
84.38 ,97.92 ,86.46 ,88.33 ,89.38 ,89.29 
94.38 ,92.92 ,98.13 ,96.67 ,87.50 ,93.92 
94.17 ,88.13 ,90.42 ,97.29 ,92.08 ,92.42 
,,,,,88.39 
